YEAR,WEEK,TOTAL SPECIMENS,A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,BVic,BYam,A (H5)
2023,40,3064,16,176,10,3,0,48,0,0
2023,41,3067,22,213,12,5,0,68,0,0
2023,42,3416,26,276,34,12,0,73,0,0
2023,43,2934,36,240,48,14,0,68,0,0
2023,44,3172,41,292,63,13,0,90,0,0
2023,45,3303,62,483,111,29,0,135,0,0
2023,46,3897,103,489,149,43,0,143,0,0
2023,47,3032,124,583,141,27,0,141,0,0
2023,48,4221,176,711,174,24,0,219,0,0
2023,49,4519,272,972,245,52,0,262,0,0
2023,50,5001,288,1017,400,82,0,303,0,0
2023,51,5079,330,1242,277,39,0,286,0,0
2023,52,4499,303,1229,249,21,0,245,0,0
2024,1,4878,338,1134,231,59,0,317,0,0
2024,2,5104,346,945,242,60,0,258,0,0
2024,3,3798,302,794,163,46,0,209,0,0
2024,4,4305,393,765,190,57,0,290,0,0
2024,5,4136,394,692,138,58,0,387,0,0
2024,6,4024,434,607,172,61,0,433,0,0
2024,7,4208,438,518,150,57,0,441,0,0
2024,8,4023,442,488,172,63,0,483,0,0
2024,9,4066,397,475,139,49,0,447,0,0
2024,10,3764,419,371,122,39,0,472,0,0
2024,11,3192,351,287,95,33,0,397,0,0
2024,12,2888,322,249,82,34,0,316,0,0
2024,13,2808,284,220,65,30,0,266,0,0
2024,14,2082,295,180,43,31,0,253,0,0
2024,15,1895,271,181,37,15,0,252,0,0
2024,16,1663,219,132,36,19,0,177,0,0
2024,17,1484,150,100,27,18,0,134,0,0
2024,18,1271,139,104,19,15,0,97,0,0
2024,19,1272,104,64,16,15,0,84,0,0
2024,20,1034,88,54,15,2,0,47,0,0
2024,21,1096,118,53,13,2,0,36,0,1
2024,22,1137,104,59,11,6,0,57,0,0
2024,23,1125,128,63,7,3,0,48,0,0
2024,24,1287,128,84,11,2,0,46,0,0
2024,25,1175,125,76,16,5,0,29,0,0
2024,26,1622,162,90,14,1,0,30,0,0
2024,27,1280,149,72,22,1,0,12,0,0
2024,28,1639,137,88,17,1,1,10,0,8
2024,29,1454,97,61,13,1,0,9,0,2
2024,30,1446,111,53,6,0,0,12,0,1
2024,31,1400,93,75,8,1,0,3,0,0
2024,32,1486,103,89,9,0,0,5,0,0
2024,33,1510,81,80,3,0,0,2,0,0
2024,34,1460,73,64,7,0,0,5,0,1
2024,35,1328,110,70,4,0,0,4,0,0
2024,36,1378,72,72,6,0,2,4,0,0
2024,37,1489,75,85,6,1,0,5,0,0
2024,38,1513,94,109,16,0,0,3,0,0
2024,39,1345,96,104,14,1,0,7,0,0
