"COVID-19_Season";"Week_ID";"Current_Season_Week_Ending_Label";"MMWR_Week_Order";"MMWR_Year";"MMWR_Week";"MMWR_Day";"Setting";"Doses";"Cumulative_Doses";"Location_and_Flu_Season_Order";"Current_Through";"Age_Group"
"2023-2024";"2023 Sep 16 12:00:00 AM";"2025 Sep 13 12:00:00 AM";"3";"2023";"37";"7";"Physician Medical Office";"93";"93";"38";"2026 Jan 17 12:00:00 AM";"18+"
"2023-2024";"2023 Sep 16 12:00:00 AM";"2025 Sep 13 12:00:00 AM";"3";"2023";"37";"7";"Physician Medical Office";"59";"59";"38";"2026 Jan 17 12:00:00 AM";"18-49"
"2023-2024";"2023 Sep 16 12:00:00 AM";"2025 Sep 13 12:00:00 AM";"3";"2023";"37";"7";"Physician Medical Office";"85";"85";"38";"2026 Jan 17 12:00:00 AM";"18-64"
"2023-2024";"2023 Sep 16 12:00:00 AM";"2025 Sep 13 12:00:00 AM";"3";"2023";"37";"7";"Physician Medical Office";"26";"26";"38";"2026 Jan 17 12:00:00 AM";"50-64"
"2023-2024";"2023 Sep 16 12:00:00 AM";"2025 Sep 13 12:00:00 AM";"3";"2023";"37";"7";"Physician Medical Office";"7";"7";"38";"2026 Jan 17 12:00:00 AM";"60-74"
"2023-2024";"2023 Sep 16 12:00:00 AM";"2025 Sep 13 12:00:00 AM";"3";"2023";"37";"7";"Physician Medical Office";"8";"8";"38";"2026 Jan 17 12:00:00 AM";"65+"
"2023-2024";"2023 Sep 16 12:00:00 AM";"2025 Sep 13 12:00:00 AM";"3";"2023";"37";"7";"Physician Medical Office";"4";"4";"38";"2026 Jan 17 12:00:00 AM";"75+"
"2023-2024";"2023 Sep 23 12:00:00 AM";"2025 Sep 20 12:00:00 AM";"4";"2023";"38";"7";"Physician Medical Office";"12,664";"12,757";"38";"2026 Jan 17 12:00:00 AM";"18+"
"2023-2024";"2023 Sep 23 12:00:00 AM";"2025 Sep 20 12:00:00 AM";"4";"2023";"38";"7";"Physician Medical Office";"3,819";"3,878";"38";"2026 Jan 17 12:00:00 AM";"18-49"
"2023-2024";"2023 Sep 23 12:00:00 AM";"2025 Sep 20 12:00:00 AM";"4";"2023";"38";"7";"Physician Medical Office";"7,019";"7,104";"38";"2026 Jan 17 12:00:00 AM";"18-64"
"2023-2024";"2023 Sep 23 12:00:00 AM";"2025 Sep 20 12:00:00 AM";"4";"2023";"38";"7";"Physician Medical Office";"3,200";"3,226";"38";"2026 Jan 17 12:00:00 AM";"50-64"
"2023-2024";"2023 Sep 23 12:00:00 AM";"2025 Sep 20 12:00:00 AM";"4";"2023";"38";"7";"Physician Medical Office";"4,096";"4,103";"38";"2026 Jan 17 12:00:00 AM";"60-74"
"2023-2024";"2023 Sep 23 12:00:00 AM";"2025 Sep 20 12:00:00 AM";"4";"2023";"38";"7";"Physician Medical Office";"5,646";"5,654";"38";"2026 Jan 17 12:00:00 AM";"65+"
"2023-2024";"2023 Sep 23 12:00:00 AM";"2025 Sep 20 12:00:00 AM";"4";"2023";"38";"7";"Physician Medical Office";"2,975";"2,979";"38";"2026 Jan 17 12:00:00 AM";"75+"
