date,daily_dose_per1M,day,prob
2022-01-01,3228.4094,1,0.0032284094
2022-01-02,3235.616,2,0.003235616
2022-01-03,3115.089,3,0.003115089
2022-01-04,2995.2136,4,0.0029952136
2022-01-05,2898.7065,5,0.0028987065
2022-01-06,2866.8743,6,0.0028668743
2022-01-07,3302.4163,7,0.0033024163
2022-01-08,3693.5093,8,0.0036935093
2022-01-09,3693.7292,9,0.0036937292
2022-01-10,3700.419,10,0.003700419
2022-01-11,3655.694,11,0.003655694
2022-01-12,3597.4453,12,0.0035974453
2022-01-13,3525.4312,13,0.0035254312
2022-01-14,3449.5667,14,0.0034495667
2022-01-15,3340.7559,15,0.0033407559
2022-01-16,3295.8213,16,0.0032958213
2022-01-17,3112.7915,17,0.0031127915
2022-01-18,2983.7778,18,0.0029837778
2022-01-19,2844.1575,19,0.0028441575
2022-01-20,2695.0046,20,0.0026950046
2022-01-21,2532.8037,21,0.0025328037
2022-01-22,2462.1628,22,0.0024621628
2022-01-23,2437.1262,23,0.0024371262
2022-01-24,2425.6736,24,0.0024256736
2022-01-25,2343.0715,25,0.0023430715
2022-01-26,2264.0942,26,0.0022640942
2022-01-27,2202.3064,27,0.0022023064
2022-01-28,2148.5806,28,0.0021485806
2022-01-29,2084.8384,29,0.0020848384
2022-01-30,2056.8433,30,0.0020568433
2022-01-31,1987.0326,31,0.0019870326
2022-02-01,1908.9044,32,0.0019089044
2022-02-02,1816.5188,33,0.0018165188
2022-02-03,1703.1404,34,0.0017031404
2022-02-04,1577.1426,35,0.0015771426
2022-02-05,1564.2047,36,0.0015642047
2022-02-06,1542.6934,37,0.0015426934
2022-02-07,1480.9572,38,0.0014809572
2022-02-08,1432.3224,39,0.0014323224
2022-02-09,1406.5466,40,0.0014065466
2022-02-10,1401.864,41,0.001401864
2022-02-11,1387.7885,42,0.0013877885
2022-02-12,1348.5161,43,0.0013485161
2022-02-13,1322.919,44,0.001322919
2022-02-14,1263.109,45,0.001263109
2022-02-15,1221.0897,46,0.0012210897
2022-02-16,1180.1588,47,0.0011801588
2022-02-17,1137.2947,48,0.0011372947
2022-02-18,1096.5483,49,0.0010965483
2022-02-19,1069.7754,50,0.0010697754
2022-02-20,1070.433,51,0.001070433
2022-02-21,1059.6128,52,0.0010596128
2022-02-22,1038.9247,53,0.0010389247
2022-02-23,1008.8574,54,0.0010088574
