Entity,Code,Day,"COVID-19 doses (daily, 7-day average, per million people)"
United States,USA,2021-12-31,3181.0203
United States,USA,2022-01-01,3228.4094
United States,USA,2022-01-02,3235.616
United States,USA,2022-01-03,3115.089
United States,USA,2022-01-04,2995.2136
United States,USA,2022-01-05,2898.7065
United States,USA,2022-01-06,2866.8743
United States,USA,2022-01-07,3302.4163
United States,USA,2022-01-08,3693.5093
United States,USA,2022-01-09,3693.7292
United States,USA,2022-01-10,3700.419
United States,USA,2022-01-11,3655.694
United States,USA,2022-01-12,3597.4453
United States,USA,2022-01-13,3525.4312
United States,USA,2022-01-14,3449.5667
United States,USA,2022-01-15,3340.7559
United States,USA,2022-01-16,3295.8213
United States,USA,2022-01-17,3112.7915
United States,USA,2022-01-18,2983.7778
United States,USA,2022-01-19,2844.1575
United States,USA,2022-01-20,2695.0046
United States,USA,2022-01-21,2532.8037
United States,USA,2022-01-22,2462.1628
United States,USA,2022-01-23,2437.1262
United States,USA,2022-01-24,2425.6736
United States,USA,2022-01-25,2343.0715
United States,USA,2022-01-26,2264.0942
United States,USA,2022-01-27,2202.3064
United States,USA,2022-01-28,2148.5806
United States,USA,2022-01-29,2084.8384
United States,USA,2022-01-30,2056.8433
United States,USA,2022-01-31,1987.0326
United States,USA,2022-02-01,1908.9044
United States,USA,2022-02-02,1816.5188
United States,USA,2022-02-03,1703.1404
United States,USA,2022-02-04,1577.1426
United States,USA,2022-02-05,1564.2047
United States,USA,2022-02-06,1542.6934
United States,USA,2022-02-07,1480.9572
United States,USA,2022-02-08,1432.3224
United States,USA,2022-02-09,1406.5466
United States,USA,2022-02-10,1401.864
United States,USA,2022-02-11,1387.7885
United States,USA,2022-02-12,1348.5161
United States,USA,2022-02-13,1322.919
United States,USA,2022-02-14,1263.109
United States,USA,2022-02-15,1221.0897
United States,USA,2022-02-16,1180.1588
United States,USA,2022-02-17,1137.2947
United States,USA,2022-02-18,1096.5483
United States,USA,2022-02-19,1069.7754
United States,USA,2022-02-20,1070.433
United States,USA,2022-02-21,1059.6128
United States,USA,2022-02-22,1038.9247
United States,USA,2022-02-23,1008.8574
United States,USA,2022-02-24,975.6731
United States,USA,2022-02-25,919.8937
United States,USA,2022-02-26,903.3611
United States,USA,2022-02-27,890.19824
United States,USA,2022-02-28,890.1581
United States,USA,2022-03-01,859.87665
United States,USA,2022-03-02,824.0291
United States,USA,2022-03-03,792.4117
United States,USA,2022-03-04,761.0729
United States,USA,2022-03-05,735.3745
United States,USA,2022-03-06,720.98944
United States,USA,2022-03-07,676.76166
United States,USA,2022-03-08,648.5361
United States,USA,2022-03-09,629.5645
United States,USA,2022-03-10,612.2849
United States,USA,2022-03-11,586.87396
United States,USA,2022-03-12,569.93524
United States,USA,2022-03-13,563.6384
United States,USA,2022-03-14,556.8974
United States,USA,2022-03-15,552.8619
United States,USA,2022-03-16,550.69305
United States,USA,2022-03-17,544.22144
United States,USA,2022-03-18,541.4185
United States,USA,2022-03-19,542.7215
United States,USA,2022-03-20,543.566
United States,USA,2022-03-21,540.95844
United States,USA,2022-03-22,531.63617
United States,USA,2022-03-23,525.11017
United States,USA,2022-03-24,521.0081
United States,USA,2022-03-25,512.0314
United States,USA,2022-03-26,503.01782
United States,USA,2022-03-27,498.08505
United States,USA,2022-03-28,490.94247
United States,USA,2022-03-29,496.78168
United States,USA,2022-03-30,584.35004
United States,USA,2022-03-31,738.3188
United States,USA,2022-04-01,919.08765
United States,USA,2022-04-02,1012.2555
United States,USA,2022-04-03,1073.2919
United States,USA,2022-04-04,1236.0504
United States,USA,2022-04-05,1386.5223
United States,USA,2022-04-06,1460.4509
United States,USA,2022-04-07,1472.3201
United States,USA,2022-04-08,1477.467
United States,USA,2022-04-09,1474.5206
United States,USA,2022-04-10,1469.0499
United States,USA,2022-04-11,1477.7192
United States,USA,2022-04-12,1503.0817
United States,USA,2022-04-13,1505.4701
United States,USA,2022-04-14,1508.168
United States,USA,2022-04-15,1463.6157
United States,USA,2022-04-16,1430.6276
United States,USA,2022-04-17,1373.1666
United States,USA,2022-04-18,1345.9608
United States,USA,2022-04-19,1315.6814
United States,USA,2022-04-20,1296.3394
United States,USA,2022-04-21,1261.1748
United States,USA,2022-04-22,1231.208
United States,USA,2022-04-23,1231.5121
United States,USA,2022-04-24,1262.817
United States,USA,2022-04-25,1225.8907
United States,USA,2022-04-26,1189.489
United States,USA,2022-04-27,1163.7836
United States,USA,2022-04-28,1152.8016
United States,USA,2022-04-29,1158.9558
United States,USA,2022-04-30,1151.226
United States,USA,2022-05-01,1151.5693
United States,USA,2022-05-02,1136.7358
United States,USA,2022-05-03,1121.4888
United States,USA,2022-05-04,1097.0553
United States,USA,2022-05-05,1068.1935
United States,USA,2022-05-06,1043.972
United States,USA,2022-05-07,1028.8931
United States,USA,2022-05-08,1010.3059
United States,USA,2022-05-09,1009.11926
United States,USA,2022-05-10,1009.80896
United States,USA,2022-05-11,1012.3492
United States,USA,2022-05-12,1021.8115
United States,USA,2022-05-13,1029.5476
United States,USA,2022-05-14,1043.1765
United States,USA,2022-05-15,1060.1307
United States,USA,2022-05-16,1058.9114
United States,USA,2022-05-17,1053.9502
United States,USA,2022-05-18,1052.4904
United States,USA,2022-05-19,1055.4192
United States,USA,2022-05-20,1072.034
United States,USA,2022-05-21,1085.0514
United States,USA,2022-05-22,1094.6229
United States,USA,2022-05-23,1115.7423
United States,USA,2022-05-24,1123.1088
United States,USA,2022-05-25,1121.144
United States,USA,2022-05-26,1105.133
United States,USA,2022-05-27,1077.507
United States,USA,2022-05-28,1048.5502
United States,USA,2022-05-29,1031.0104
United States,USA,2022-05-30,860.1159
United States,USA,2022-05-31,838.2678
United States,USA,2022-06-01,820.28174
United States,USA,2022-06-02,802.3103
United States,USA,2022-06-03,783.2049
United States,USA,2022-06-04,779.28815
United States,USA,2022-06-05,776.92316
United States,USA,2022-06-06,897.9636
United States,USA,2022-06-07,873.4126
United States,USA,2022-06-08,851.73645
United States,USA,2022-06-09,831.5247
United States,USA,2022-06-10,808.413
United States,USA,2022-06-11,795.95917
United States,USA,2022-06-12,787.44293
United States,USA,2022-06-13,766.2658
United States,USA,2022-06-14,749.26355
United States,USA,2022-06-15,732.72345
United States,USA,2022-06-16,719.3435
United States,USA,2022-06-17,699.0339
United States,USA,2022-06-18,685.90656
United States,USA,2022-06-19,675.6344
United States,USA,2022-06-20,661.1008
United States,USA,2022-06-21,657.2635
United States,USA,2022-06-22,658.2013
United States,USA,2022-06-23,659.99866
United States,USA,2022-06-24,664.3161
United States,USA,2022-06-25,677.5501
United States,USA,2022-06-26,684.5471
United States,USA,2022-06-27,692.2803
United States,USA,2022-06-28,691.2417
United States,USA,2022-06-29,685.80237
United States,USA,2022-06-30,683.98785
United States,USA,2022-07-01,671.4261
United States,USA,2022-07-02,650.9554
United States,USA,2022-07-03,642.4463
United States,USA,2022-07-04,541.39594
United States,USA,2022-07-05,534.96484
United States,USA,2022-07-06,532.09924
United States,USA,2022-07-07,528.50244
United States,USA,2022-07-08,539.919
United States,USA,2022-07-09,553.67957
United States,USA,2022-07-10,561.8273
United States,USA,2022-07-11,669.75793
United States,USA,2022-07-12,690.71844
United States,USA,2022-07-13,724.40717
United States,USA,2022-07-14,763.65784
United States,USA,2022-07-15,809.06934
United States,USA,2022-07-16,836.79175
United States,USA,2022-07-17,852.51196
United States,USA,2022-07-18,890.33
United States,USA,2022-07-19,914.71783
United States,USA,2022-07-20,913.926
United States,USA,2022-07-21,913.0167
United States,USA,2022-07-22,912.296
United States,USA,2022-07-23,907.5092
United States,USA,2022-07-24,900.6456
United States,USA,2022-07-25,879.88513
United States,USA,2022-07-26,863.59766
United States,USA,2022-07-27,848.64453
United States,USA,2022-07-28,824.5085
United States,USA,2022-07-29,786.3885
United States,USA,2022-07-30,760.5291
United States,USA,2022-07-31,747.8
United States,USA,2022-08-01,719.3782
United States,USA,2022-08-02,692.8316
United States,USA,2022-08-03,669.1121
United States,USA,2022-08-04,644.5214
United States,USA,2022-08-05,620.88477
United States,USA,2022-08-06,614.07184
United States,USA,2022-08-07,611.7675
United States,USA,2022-08-08,602.08014
United States,USA,2022-08-09,589.3978
United States,USA,2022-08-10,573.24426
United States,USA,2022-08-11,560.09143
United States,USA,2022-08-12,548.5105
United States,USA,2022-08-13,541.2809
United States,USA,2022-08-14,536.66266
United States,USA,2022-08-15,526.9297
United States,USA,2022-08-16,516.9186
United States,USA,2022-08-17,511.5763
United States,USA,2022-08-18,501.79813
United States,USA,2022-08-19,490.61914
