Entity,Code,Day,COVID-19 doses (daily)
United States,USA,2021-12-31,620908
United States,USA,2022-01-01,120312
United States,USA,2022-01-02,500641
United States,USA,2022-01-03,1252631
United States,USA,2022-01-04,1423448
United States,USA,2022-01-05,1461822
United States,USA,2022-01-06,1474184
United States,USA,2022-01-07,1662175
United States,USA,2022-01-08,1055313
United States,USA,2022-01-09,501167
United States,USA,2022-01-10,1268624
United States,USA,2022-01-11,1316523
United States,USA,2022-01-12,1322564
United States,USA,2022-01-13,1302017
United States,USA,2022-01-14,1480803
United States,USA,2022-01-15,795175
United States,USA,2022-01-16,393740
United States,USA,2022-01-17,831048
United States,USA,2022-01-18,1008085
United States,USA,2022-01-19,988768
United States,USA,2022-01-20,945432
United States,USA,2022-01-21,1093023
United States,USA,2022-01-22,626291
United States,USA,2022-01-23,333884
United States,USA,2022-01-24,803668
United States,USA,2022-01-25,810605
United States,USA,2022-01-26,799954
United States,USA,2022-01-27,797713
United States,USA,2022-01-28,964579
United States,USA,2022-01-29,473900
United States,USA,2022-01-30,266955
United States,USA,2022-01-31,636769
United States,USA,2022-02-01,623821
United States,USA,2022-02-02,579084
United States,USA,2022-02-03,526655
United States,USA,2022-02-04,663351
United States,USA,2022-02-05,442969
United States,USA,2022-02-06,215527
United States,USA,2022-02-07,489174
United States,USA,2022-02-08,507548
United States,USA,2022-02-09,517461
United States,USA,2022-02-10,515460
United States,USA,2022-02-11,629700
United States,USA,2022-02-12,349079
United States,USA,2022-02-13,154331
United States,USA,2022-02-14,346184
United States,USA,2022-02-15,407091
United States,USA,2022-02-16,419606
United States,USA,2022-02-17,412983
United States,USA,2022-02-18,532286
United States,USA,2022-02-19,285072
United States,USA,2022-02-20,155903
United States,USA,2022-02-21,320316
United States,USA,2022-02-22,357631
United States,USA,2022-02-23,347723
United States,USA,2022-02-24,333648
United States,USA,2022-02-25,398932
United States,USA,2022-02-26,245547
United States,USA,2022-02-27,124434
United States,USA,2022-02-28,320220
United States,USA,2022-03-01,285236
United States,USA,2022-03-02,262021
United States,USA,2022-03-03,258059
United States,USA,2022-03-04,324009
United States,USA,2022-03-05,184109
United States,USA,2022-03-06,90043
United States,USA,2022-03-07,214483
United States,USA,2022-03-08,217756
United States,USA,2022-03-09,216665
United States,USA,2022-03-10,216748
United States,USA,2022-03-11,263258
United States,USA,2022-03-12,143613
United States,USA,2022-03-13,74989
United States,USA,2022-03-14,198367
United States,USA,2022-03-15,208108
United States,USA,2022-03-16,211480
United States,USA,2022-03-17,201276
United States,USA,2022-03-18,256557
United States,USA,2022-03-19,146728
United States,USA,2022-03-20,77008
United States,USA,2022-03-21,192133
United States,USA,2022-03-22,185821
United States,USA,2022-03-23,195878
United States,USA,2022-03-24,191469
United States,USA,2022-03-25,235096
United States,USA,2022-03-26,125179
United States,USA,2022-03-27,65215
United States,USA,2022-03-28,175057
United States,USA,2022-03-29,199781
United States,USA,2022-03-30,405231
United States,USA,2022-03-31,559568
United States,USA,2022-04-01,667267
United States,USA,2022-04-02,347919
United States,USA,2022-04-03,211137
United States,USA,2022-04-04,564170
