Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
France,2021-06-22,32.937588
France,2021-06-23,32.937588
France,2021-06-24,32.937588
France,2021-06-25,32.937588
France,2021-06-26,32.937588
France,2021-06-27,23.758623
France,2021-06-28,23.758623
France,2021-06-29,23.758623
France,2021-06-30,23.758623
France,2021-07-01,23.758623
France,2021-07-02,23.758623
France,2021-07-03,23.758623
France,2021-07-04,30.906214
France,2021-07-05,30.906214
France,2021-07-06,30.906214
France,2021-07-07,30.906214
France,2021-07-08,30.906214
France,2021-07-09,30.906214
France,2021-07-10,30.906214
France,2021-07-11,51.82447
France,2021-07-12,51.82447
France,2021-07-13,51.82447
France,2021-07-14,51.82447
France,2021-07-15,51.82447
France,2021-07-16,51.82447
France,2021-07-17,51.82447
France,2021-07-18,103.69339
France,2021-07-19,103.69339
France,2021-07-20,103.69339
France,2021-07-21,103.69339
France,2021-07-22,103.69339
France,2021-07-23,103.69339
France,2021-07-24,103.69339
France,2021-07-25,262.42944
France,2021-07-26,262.42944
France,2021-07-27,262.42944
France,2021-07-28,262.42944
France,2021-07-29,262.42944
France,2021-07-30,262.42944
France,2021-07-31,262.42944
France,2021-08-01,318.22556
France,2021-08-02,318.22556
France,2021-08-03,318.22556
France,2021-08-04,318.22556
France,2021-08-05,318.22556
France,2021-08-06,318.22556
France,2021-08-07,318.22556
France,2021-08-08,327.0089
France,2021-08-09,327.0089
France,2021-08-10,327.0089
France,2021-08-11,327.0089
France,2021-08-12,327.0089
France,2021-08-13,327.0089
France,2021-08-14,327.0089
France,2021-08-15,335.44333
France,2021-08-16,335.44333
France,2021-08-17,335.44333
France,2021-08-18,335.44333
France,2021-08-19,335.44333
France,2021-08-20,335.44333
France,2021-08-21,335.44333
France,2021-08-22,296.8628
France,2021-08-23,296.8628
France,2021-08-24,296.8628
France,2021-08-25,296.8628
France,2021-08-26,296.8628
France,2021-08-27,296.8628
France,2021-08-28,296.8628
France,2021-08-29,249.19662
France,2021-08-30,249.19662
France,2021-08-31,249.19662
France,2021-09-01,249.19662
France,2021-09-02,249.19662
France,2021-09-03,249.19662
France,2021-09-04,249.19662
France,2021-09-05,190.65129
France,2021-09-06,190.65129
France,2021-09-07,190.65129
France,2021-09-08,190.65129
France,2021-09-09,190.65129
France,2021-09-10,190.65129
France,2021-09-11,190.65129
France,2021-09-12,144.06305
France,2021-09-13,144.06305
France,2021-09-14,144.06305
France,2021-09-15,144.06305
France,2021-09-16,144.06305
France,2021-09-17,144.06305
France,2021-09-18,144.06305
France,2021-09-19,103.87119
France,2021-09-20,103.87119
France,2021-09-21,103.87119
France,2021-09-22,103.87119
France,2021-09-23,103.87119
France,2021-09-24,103.87119
France,2021-09-25,103.87119
France,2021-09-26,80.2637
France,2021-09-27,80.2637
France,2021-09-28,80.2637
France,2021-09-29,80.2637
France,2021-09-30,80.2637
France,2021-10-01,80.2637
France,2021-10-02,80.2637
France,2021-10-03,68.7111
France,2021-10-04,68.7111
France,2021-10-05,68.7111
France,2021-10-06,68.7111
France,2021-10-07,68.7111
France,2021-10-08,68.7111
France,2021-10-09,68.7111
France,2021-10-10,58.55423
France,2021-10-11,58.55423
France,2021-10-12,58.55423
France,2021-10-13,58.55423
France,2021-10-14,58.55423
France,2021-10-15,58.55423
France,2021-10-16,58.55423
France,2021-10-17,69.108925
France,2021-10-18,69.108925
France,2021-10-19,69.108925
France,2021-10-20,69.108925
France,2021-10-21,69.108925
France,2021-10-22,69.108925
France,2021-10-23,69.108925
France,2021-10-24,76.10094
France,2021-10-25,76.10094
France,2021-10-26,76.10094
France,2021-10-27,76.10094
France,2021-10-28,76.10094
France,2021-10-29,76.10094
France,2021-10-30,76.10094
France,2021-10-31,85.39992
France,2021-11-01,85.39992
France,2021-11-02,85.39992
France,2021-11-03,85.39992
France,2021-11-04,85.39992
France,2021-11-05,85.39992
France,2021-11-06,85.39992
France,2021-11-07,106.80713
France,2021-11-08,106.80713
France,2021-11-09,106.80713
France,2021-11-10,106.80713
France,2021-11-11,106.80713
France,2021-11-12,106.80713
France,2021-11-13,106.80713
France,2021-11-14,147.48793
France,2021-11-15,147.48793
France,2021-11-16,147.48793
France,2021-11-17,147.48793
France,2021-11-18,147.48793
France,2021-11-19,147.48793
France,2021-11-20,147.48793
France,2021-11-21,266.0366
France,2021-11-22,266.0366
France,2021-11-23,266.0366
France,2021-11-24,266.0366
France,2021-11-25,266.0366
France,2021-11-26,266.0366
France,2021-11-27,266.0366
France,2021-11-28,433.8827
France,2021-11-29,433.8827
France,2021-11-30,433.8827
France,2021-12-01,433.8827
France,2021-12-02,433.8827
France,2021-12-03,433.8827
France,2021-12-04,433.8827
France,2021-12-05,641.85846
France,2021-12-06,641.85846
France,2021-12-07,641.85846
France,2021-12-08,641.85846
France,2021-12-09,641.85846
France,2021-12-10,641.85846
France,2021-12-11,641.85846
France,2021-12-12,749.619
France,2021-12-13,749.619
France,2021-12-14,749.619
France,2021-12-15,749.619
France,2021-12-16,749.619
France,2021-12-17,749.619
France,2021-12-18,749.619
France,2021-12-19,801.5524
France,2021-12-20,801.5524
France,2021-12-21,801.5524
France,2021-12-22,801.5524
France,2021-12-23,801.5524
France,2021-12-24,801.5524
France,2021-12-25,801.5524
France,2021-12-26,1155.127
France,2021-12-27,1155.127
France,2021-12-28,1155.127
France,2021-12-29,1155.127
France,2021-12-30,1155.127
France,2021-12-31,1155.127
France,2022-01-01,1155.127
France,2022-01-02,2535.2695
France,2022-01-03,2535.2695
France,2022-01-04,2535.2695
France,2022-01-05,2535.2695
France,2022-01-06,2535.2695
France,2022-01-07,2535.2695
France,2022-01-08,2535.2695
France,2022-01-09,3836.5332
France,2022-01-10,3836.5332
France,2022-01-11,3836.5332
France,2022-01-12,3836.5332
France,2022-01-13,3836.5332
France,2022-01-14,3836.5332
France,2022-01-15,3836.5332
France,2022-01-16,4360.3677
France,2022-01-17,4360.3677
France,2022-01-18,4360.3677
France,2022-01-19,4360.3677
France,2022-01-20,4360.3677
France,2022-01-21,4360.3677
France,2022-01-22,4360.3677
France,2022-01-23,5371.9004
France,2022-01-24,5371.9004
France,2022-01-25,5371.9004
France,2022-01-26,5371.9004
France,2022-01-27,5371.9004
France,2022-01-28,5371.9004
France,2022-01-29,5371.9004
France,2022-01-30,5177.055
France,2022-01-31,5177.055
France,2022-02-01,5177.055
France,2022-02-02,5177.055
France,2022-02-03,5177.055
France,2022-02-04,5177.055
France,2022-02-05,5177.055
France,2022-02-06,3795.1301
France,2022-02-07,3795.1301
France,2022-02-08,3795.1301
France,2022-02-09,3795.1301
France,2022-02-10,3795.1301
France,2022-02-11,3795.1301
France,2022-02-12,3795.1301
France,2022-02-13,2130.584
France,2022-02-14,2130.584
France,2022-02-15,2130.584
France,2022-02-16,2130.584
France,2022-02-17,2130.584
France,2022-02-18,2130.584
France,2022-02-19,2130.584
France,2022-02-20,1257.8224
France,2022-02-21,1257.8224
France,2022-02-22,1257.8224
France,2022-02-23,1257.8224
France,2022-02-24,1257.8224
France,2022-02-25,1257.8224
France,2022-02-26,1257.8224
France,2022-02-27,874.6663
France,2022-02-28,874.6663
France,2022-03-01,874.6663
France,2022-03-02,874.6663
France,2022-03-03,874.6663
France,2022-03-04,874.6663
France,2022-03-05,874.6663
France,2022-03-06,774.0644
France,2022-03-07,774.0644
France,2022-03-08,774.0644
France,2022-03-09,774.0644
France,2022-03-10,774.0644
France,2022-03-11,774.0644
France,2022-03-12,774.0644
France,2022-03-13,931.7381
France,2022-03-14,931.7381
France,2022-03-15,931.7381
France,2022-03-16,931.7381
France,2022-03-17,931.7381
France,2022-03-18,931.7381
France,2022-03-19,931.7381
France,2022-03-20,1303.1194
France,2022-03-21,1303.1194
France,2022-03-22,1303.1194
France,2022-03-23,1303.1194
France,2022-03-24,1303.1194
France,2022-03-25,1303.1194
France,2022-03-26,1303.1194
France,2022-03-27,1893.5624
France,2022-03-28,1893.5624
France,2022-03-29,1893.5624
France,2022-03-30,1893.5624
France,2022-03-31,1893.5624
France,2022-04-01,1893.5624
France,2022-04-02,1893.5624
France,2022-04-03,2132.1821
France,2022-04-04,2132.1821
France,2022-04-05,2132.1821
France,2022-04-06,2132.1821
France,2022-04-07,2132.1821
France,2022-04-08,2132.1821
France,2022-04-09,2132.1821
France,2022-04-10,2063.3176
France,2022-04-11,2063.3176
France,2022-04-12,2063.3176
France,2022-04-13,2063.3176
France,2022-04-14,2063.3176
France,2022-04-15,2063.3176
France,2022-04-16,2063.3176
France,2022-04-17,1827.8761
France,2022-04-18,1827.8761
France,2022-04-19,1827.8761
France,2022-04-20,1827.8761
France,2022-04-21,1827.8761
France,2022-04-22,1827.8761
France,2022-04-23,1827.8761
France,2022-04-24,1198.2903
France,2022-04-25,1198.2903
France,2022-04-26,1198.2903
France,2022-04-27,1198.2903
France,2022-04-28,1198.2903
France,2022-04-29,1198.2903
France,2022-04-30,1198.2903
France,2022-05-01,836.79694
France,2022-05-02,836.79694
France,2022-05-03,836.79694
France,2022-05-04,836.79694
France,2022-05-05,836.79694
France,2022-05-06,836.79694
France,2022-05-07,836.79694
