"rep","est_V","se_V","IRR_V","IRR_V_CI_Lower","IRR_V_CI_Upper","VE","VE_CI_Lower","VE_CI_Upper","n_event","p_val","n_calendar_group","seed"
126,-0.109713790199358,0.44915971431818,0.896090568500897,0.371557869813065,2.16111236551186,0.103909431499103,-1.16111236551186,0.628442130186935,38,0.807025946143777,3,60111350
76,0.2554552423005,0.449684111728828,1.29104922733139,0.534774871753686,3.11684074071586,-0.291049227331393,-2.11684074071586,0.465225128246314,31,0.569982622319223,4,843521552
201,-0.518854389286939,0.479146329383609,0.595202027359596,0.232709603836664,1.52234994831424,0.404797972640404,-0.522349948314239,0.767290396163336,38,0.278865014375837,3,435821758
226,-0.612588514204097,0.36433884853832,0.541946216398106,0.265356908264957,1.10683269332849,0.458053783601894,-0.106832693328486,0.734643091735043,43,0.0926910132638099,3,639311455
326,-0.192980190988257,0.471591814377169,0.824498306473979,0.327167449041643,2.07782730027012,0.175501693526021,-1.07782730027012,0.672832550958357,45,0.682385393573169,3,843336963
301,0.0690863830624357,0.401970154108777,1.07152876708696,0.487355890317361,2.35592494418652,-0.0715287670869584,-1.35592494418652,0.51264410968264,38,0.863540176733813,3,42568806
176,-0.925362222446219,0.447386252580292,0.396387812504705,0.164931809760454,0.95265611970468,0.603612187495295,0.0473438802953203,0.835068190239546,30,0.0386048409077651,4,260818021
351,-0.24077089094394,0.52820254776748,0.786021690447946,0.279143620410977,2.21330545525285,0.213978309552054,-1.21330545525285,0.720856379589023,28,0.648511788825133,3,364555777
26,-0.221171949707546,0.5442283531482,0.801578837192864,0.275866032321733,2.32913282881492,0.198421162807136,-1.32913282881492,0.724133967678267,35,0.684452030964777,4,723421274
426,-0.459482403593707,0.491107937347225,0.631610480230134,0.241222321876942,1.65379304714616,0.368389519769866,-0.653793047146161,0.758777678123058,37,0.349477268512521,4,300326221
51,-0.182612812749867,0.370181705426286,0.833090655379155,0.403267315465358,1.72104213127009,0.166909344620845,-0.721042131270094,0.596732684534642,52,0.62179647278489,3,252700355
1,-0.639787919861925,0.413099439877679,0.527404264152259,0.234699819766737,1.1851532656584,0.472595735847741,-0.185153265658399,0.765300180233263,40,0.121441734750392,3,605350268
376,-0.477978732270619,0.424430676477579,0.620035383586513,0.26986118762378,1.4245986252578,0.379964616413487,-0.424598625257802,0.73013881237622,48,0.260095924975372,3,143295624
451,-1.04553134619881,0.426299563804121,0.351504998904256,0.152427967638196,0.810584607071281,0.648495001095744,0.189415392928719,0.847572032361804,45,0.0141838091352222,4,782415022
151,-1.08869607280082,0.551271074720414,0.336655181483997,0.114272706500089,0.99180910902758,0.663344818516003,0.00819089097242043,0.885727293499911,34,0.0482813860697387,3,43687755
