"rep","est_V","se_V","IRR_V","IRR_V_CI_Lower","IRR_V_CI_Upper","VE","VE_CI_Lower","VE_CI_Upper","n_event","p_val","seed"
51,-0.720742186505832,0.19086997447817,0.486391129032258,0.334592982914751,0.707057058819284,0.513608870967742,0.292942941180716,0.665407017085249,225,0.000159309499832214,454505643
26,-0.659245628884265,0.199647446050603,0.517241379310345,0.349746234152796,0.76495075098932,0.482758620689655,0.23504924901068,0.650253765847204,215,0.000959813368973867,252984197
1,-0.486264150117518,0.217097092450556,0.614919354838709,0.401813739437274,0.941047495003046,0.385080645161291,0.0589525049969539,0.598186260562726,207,0.0251008936464654,441118550
101,-0.870106794212515,0.182003767452022,0.418906810035842,0.293221312163297,0.598465760212809,0.581093189964158,0.401534239787191,0.706778687836703,223,1.74679271724688e-06,832415607
126,-0.576559602308335,0.195238373113846,0.561827956989247,0.383191742463798,0.82374074980108,0.438172043010753,0.17625925019892,0.616808257536202,239,0.00314593962804457,376126411
301,-0.567331973206298,0.188929734164754,0.56703629032258,0.391555720590127,0.821160661522719,0.43296370967742,0.178839338477281,0.608444279409873,257,0.00267444126118988,111733523
226,-0.70022864667273,0.190594181807934,0.496471774193548,0.34171221298005,0.721321080160749,0.503528225806452,0.278678919839251,0.65828778701995,229,0.000238853274418172,615845171
351,-0.670226396368929,0.190200179761907,0.511592741935484,0.352391713892375,0.742716480788201,0.488407258064516,0.257283519211799,0.647608286107626,235,0.000425413634564465,247012293
326,-1.14651574930115,0.158354482524867,0.317741935483871,0.232960857791388,0.433377257116061,0.682258064516129,0.566622742883939,0.767039142208612,247,4.48073113463753e-13,756286785
451,-0.512362903084877,0.201300715423772,0.599078341013825,0.403771944032379,0.888855364955958,0.400921658986175,0.111144635044042,0.596228055967621,236,0.0109196019420286,82703412
426,-0.55944048773338,0.22274027521898,0.571528751753155,0.369352648226194,0.884371929236798,0.428471248246845,0.115628070763202,0.630647351773806,186,0.0120176037835712,351051616
376,-0.977251431663843,0.183657721688958,0.376344086021505,0.26257620044744,0.539404831214751,0.623655913978495,0.460595168785249,0.73742379955256,204,1.03171547782653e-07,559320123
151,-0.488404714616626,0.221793928216635,0.613604488078542,0.397280449447642,0.947719597864957,0.386395511921458,0.0522804021350426,0.602719550552358,198,0.0276606956778933,125181317
76,-0.252649298936012,0.241031241839167,0.776740237691001,0.484294613395076,1.24578176209467,0.223259762308999,-0.245781762094667,0.515705386604924,202,0.294545799310254,688898490
501,-0.423366318437404,0.211957798153378,0.65483870967742,0.432230629305175,0.992094744375983,0.34516129032258,0.007905255624017,0.567769370694825,228,0.0457808196962506,862386695
401,-0.773339242277521,0.180643701013962,0.461469534050179,0.323876052530995,0.657517371822697,0.538530465949821,0.342482628177303,0.676123947469005,242,1.86038888324343e-05,555696963
526,-1.26785321421896,0.162037392243307,0.281435154707044,0.204857499250139,0.386638256324043,0.718564845292956,0.613361743675957,0.795142500749861,220,5.09887618665471e-15,435250197
551,-0.461675205139253,0.204392694434933,0.630227001194743,0.422199416787296,0.940754670049726,0.369772998805257,0.059245329950274,0.577800583212704,238,0.0238979639159928,566747215
601,-0.836602571270458,0.184093936657061,0.433179723502303,0.301972279096809,0.621397015033208,0.566820276497697,0.378602984966792,0.698027720903191,223,5.50833092107858e-06,315796240
626,-0.97899511126867,0.172121602368168,0.375688434303698,0.268112863979487,0.526426809869005,0.624311565696302,0.473573190130995,0.731887136020513,232,1.28678259913353e-08,323283815
651,-0.971316696144027,0.18356180851944,0.378584229390681,0.264188813246557,0.542513579519264,0.621415770609319,0.457486420480736,0.735811186753443,205,1.21319408509023e-07,12765037
276,-0.407483272264403,0.216141554380914,0.665322580645161,0.435564262014991,1.01627744725554,0.334677419354839,-0.0162774472555356,0.564435737985009,222,0.0593945904834415,965680646
