"rep","est_V","se_V","IRR_V","IRR_V_CI_Lower","IRR_V_CI_Upper","VE","VE_CI_Lower","VE_CI_Upper","n_event","p_val","n_calendar_group","seed"
26,-0.832909122935104,0.130841756420805,0.434782608695652,0.336433674548092,0.56188167572142,0.565217391304348,0.43811832427858,0.663566325451908,252,1.9430666772582e-10,NA,437485067
126,-0.909370289029581,0.134192633334035,0.402777777777778,0.309628212009977,0.523950764106656,0.597222222222222,0.476049235893344,0.690371787990023,235,1.23033803286026e-11,NA,579483695
76,-0.991192040047272,0.131353427059302,0.371134020618557,0.286894700909943,0.480108070395251,0.628865979381443,0.519891929604749,0.713105299090057,241,4.4885418728245e-14,NA,405860573
226,-0.656333207437229,0.136103256261928,0.51875,0.39728924454819,0.677344192405789,0.48125,0.322655807594211,0.60271075545181,246,1.41899353643504e-06,NA,906756448
326,-0.819027426448948,0.129808509557352,0.440860215053763,0.341828055491213,0.568583315778323,0.559139784946237,0.431416684221677,0.658171944508787,257,2.7992951389497e-10,NA,991642250
351,-0.919103673250769,0.135196925198854,0.398876404494382,0.306026133383889,0.519898037148293,0.601123595505618,0.480101962851707,0.693973866616111,231,1.0589118335413e-11,NA,369659251
451,-0.987655218082127,0.13058865458517,0.372448979591836,0.288343074222436,0.481087478078246,0.627551020408164,0.518912521921754,0.711656925777564,244,3.93570973468123e-14,NA,302157239
1,-0.988102012340806,0.134791822066258,0.372282608695652,0.285849700506809,0.484850396874699,0.627717391304348,0.515149603125301,0.714150299493191,229,2.29161610752293e-13,NA,709113155
601,-0.860762589964205,0.140160440538597,0.422839506172839,0.321270444131704,0.556519441007759,0.577160493827161,0.443480558992241,0.678729555868296,218,8.18662038563515e-10,NA,144891599
476,-0.81377516834856,0.133318763795956,0.443181818181818,0.341272109836531,0.575523514245048,0.556818181818182,0.424476485754952,0.658727890163469,244,1.03458749614945e-09,NA,568236966
701,-0.751041158978849,0.138284187683172,0.471874999999999,0.359848134023923,0.61877774141854,0.528125000000001,0.38122225858146,0.640151865976077,231,5.59943293412173e-08,NA,76063738
