"rep","est_V","se_V","IRR_V","IRR_V_CI_Lower","IRR_V_CI_Upper","VE","VE_CI_Lower","VE_CI_Upper","n_event","p_val","seed"
76,-0.777028664540647,0.133207555641105,0.459770114942529,0.354123103582706,0.596935236519794,0.540229885057471,0.403064763480206,0.645876896417294,247,5.43685731696621e-09,688898490
101,-0.833919734441028,0.12615452268886,0.434343434343434,0.339195698858097,0.556181047083892,0.565656565656566,0.443818952916108,0.660804301141903,271,3.83531838949813e-11,832415607
26,-0.968329090247495,0.125080543623869,0.379716981132075,0.297160628131993,0.485208914338453,0.620283018867924,0.514791085661547,0.702839371868007,267,9.81391499862812e-15,252984197
201,-0.782094666576442,0.128266329824122,0.457446808510638,0.355762447394888,0.588194690442686,0.542553191489362,0.411805309557314,0.644237552605112,266,1.07788874908143e-09,358896460
226,-0.799690428466821,0.128668013280179,0.449468085106383,0.349282195483954,0.57839065987685,0.550531914893617,0.42160934012315,0.650717804516046,263,5.12771012742108e-10,615845171
251,-1.06863145645617,0.122575552628666,0.343478260869565,0.27012374099397,0.43675285724928,0.656521739130435,0.56324714275072,0.72987625900603,273,2.82796339706087e-18,131439912
376,-0.750305594399895,0.130358981502713,0.472222222222222,0.365750269146515,0.60968875752533,0.527777777777778,0.39031124247467,0.634249730853485,260,8.62897511668373e-09,559320123
126,-0.68158635815887,0.131814389940833,0.505813953488372,0.390652127271757,0.654924772406413,0.494186046511628,0.345075227593587,0.609347872728243,260,2.33089103722054e-07,376126411
476,-0.989718200428972,0.121663217444823,0.371681415929204,0.292826872083679,0.471770483235093,0.628318584070796,0.528229516764907,0.707173127916321,281,4.12275923719126e-16,721366525
1,-0.931739642815203,0.124185289874409,0.393867924528302,0.308776261125931,0.502408900886856,0.606132075471698,0.497591099113144,0.691223738874069,273,6.2460192939058e-14,441118550
326,-0.798507696217772,0.127961982680806,0.45,0.350179788954099,0.578274379012044,0.55,0.421725620987956,0.649820211045901,266,4.37026358882862e-10,756286785
276,-0.928266922920871,0.12469124233221,0.395238095238095,0.309543308201035,0.504656853463568,0.604761904761905,0.495343146536432,0.690456691798965,271,9.72947222352089e-14,965680646
751,-0.890315245470894,0.130140586310853,0.410526315789474,0.318101072844938,0.529805996718004,0.589473684210526,0.470194003281996,0.681898927155062,251,7.85431983179749e-12,71900284
151,-0.653705448508649,0.130457329165971,0.520114942528736,0.402766972940121,0.671652770997905,0.479885057471264,0.328347229002095,0.597233027059879,268,5.41829315140892e-07,125181317
301,-0.852868905436659,0.122924373936626,0.426190476190476,0.334942551080636,0.542296944384759,0.573809523809524,0.457703055615241,0.665057448919364,284,3.97241250035896e-12,111733523
426,-0.886164026470648,0.130728385522183,0.412234042553191,0.319056538938239,0.532623172072464,0.587765957446809,0.467376827927536,0.680943461061761,249,1.21290791392995e-11,351051616
51,-1.10111541888623,0.132358592457317,0.3325,0.256523886706203,0.430978383415109,0.6675,0.569021616584891,0.743476113293797,233,8.85713316844882e-17,454505643
176,-0.952658376045031,0.12528626834147,0.385714285714285,0.301732338863886,0.493071146315527,0.614285714285715,0.506928853684473,0.698267661136114,267,2.87441588097589e-14,287201084
701,-0.744440474947496,0.130226972373733,0.475,0.367996942005386,0.613116507899399,0.525,0.386883492100601,0.632003057994614,261,1.08750355763929e-08,397431572
551,-0.821764558382039,0.134276582441723,0.439655172413793,0.337921444262811,0.572016585250712,0.560344827586207,0.427983414749288,0.662078555737189,240,9.3610903098156e-10,566747215
451,-0.931558204004944,0.128496173159206,0.393939393939394,0.306233904405324,0.50676376411912,0.606060606060606,0.49323623588088,0.693766095594676,255,4.17707819904469e-13,82703412
851,-0.990218993361565,0.125040403763735,0.371495327102804,0.290749362162808,0.474665798172723,0.628504672897196,0.525334201827278,0.709250637837192,266,2.39058525304786e-15,739576114
501,-0.762942942495487,0.131377515001285,0.466292134831461,0.360436983612424,0.603235419480374,0.533707865168539,0.396764580519626,0.639563016387576,255,6.3504768807547e-09,862386695
626,-0.879733136140357,0.130570112538358,0.414893617021277,0.321214596538663,0.535893185739083,0.585106382978723,0.464106814260917,0.678785403461337,250,1.60990640766205e-11,323283815
401,-0.889857474805999,0.128122058063039,0.410714285714286,0.319508278649338,0.527955723722983,0.589285714285714,0.472044276277017,0.680491721350662,259,3.77420091743009e-12,555696963
776,-0.808978996085067,0.127532818869189,0.4453125,0.346823689385415,0.571769543792269,0.5546875,0.428230456207731,0.653176310614585,267,2.24894120111852e-10,567841
951,-0.930147766535582,0.122426571543063,0.394495412844037,0.310336080683817,0.501477721868718,0.605504587155963,0.498522278131282,0.689663919316183,281,3.01679815657568e-14,333868398
351,-1.05239944551298,0.124340749220396,0.349099099099099,0.273595966464786,0.445438514925944,0.650900900900901,0.554561485074056,0.726404033535214,266,2.58728290414793e-17,247012293
926,-1.01323267706638,0.121176219327062,0.36304347826087,0.286294664605263,0.460366829711879,0.63695652173913,0.539633170288121,0.713705335394737,282,6.18490749028567e-17,475223255
526,-0.938526873321038,0.123192609467501,0.391203703703703,0.307284899282382,0.498040542014586,0.608796296296297,0.501959457985414,0.692715100717618,277,2.56899145503439e-14,435250197
876,-0.819341783120613,0.127111099328487,0.440721649484536,0.343532018261525,0.565407478776847,0.559278350515464,0.434592521223153,0.656467981738475,268,1.14938191098408e-10,887811164
801,-0.971696769448453,0.12342980998097,0.378440366972477,0.29712131616963,0.482015606286891,0.621559633027523,0.517984393713109,0.70287868383037,274,3.47722986703202e-15,109365642
976,-1.17093295024774,0.11832978487279,0.310077519379845,0.2458939172133,0.391014422456635,0.689922480620155,0.608985577543365,0.7541060827867,289,4.35408315488694e-23,775490816
651,-0.996237878364572,0.124038268512188,0.369266055045871,0.289572837117545,0.470891609746496,0.630733944954128,0.529108390253504,0.710427162882455,270,9.61329912056061e-16,12765037
826,-1.03524267473552,0.126193271475185,0.355140186915888,0.277321736857737,0.454795047051621,0.644859813084112,0.545204952948379,0.722678263142263,259,2.33238775455368e-16,847100194
601,-0.817601355033351,0.129082896867366,0.441489361702128,0.342803053794277,0.568585531367883,0.558510638297872,0.431414468632117,0.657196946205723,260,2.39002115398047e-10,315796240
676,-0.947743528425961,0.122847351191207,0.387614678899082,0.304671871587477,0.493137546683237,0.612385321100918,0.506862453316763,0.695328128412523,278,1.21166035385302e-14,448451833
576,-0.881547783430282,0.127273607169799,0.414141414141414,0.322710555773101,0.5314766060136,0.585858585858586,0.4685233939864,0.677289444226899,263,4.31687873767927e-12,857436596
726,-0.552241727482707,0.137376054772701,0.575657894736842,0.439774208107442,0.753527618636272,0.424342105263158,0.246472381363728,0.560225791892558,251,5.82161491025129e-05,676702114
901,-1.06949489009738,0.125353203595485,0.343181818181818,0.268425289676548,0.438758063640335,0.656818181818182,0.561241936359665,0.731574710323452,261,1.44024135388109e-17,94533586
102,-0.999877447982421,0.125873820467973,0.367924528301887,0.287484710020573,0.470871854424809,0.632075471698113,0.529128145575191,0.712515289979427,262,1.96570374864091e-15,157033471
127,-0.769374545947829,0.118847831200905,0.463302752293578,0.367029880956374,0.58482824265831,0.536697247706422,0.41517175734169,0.632970119043626,311,9.56884938291611e-11,294772745
327,-0.913935018181696,0.123759101525124,0.400943396226415,0.314585808219553,0.511007180798757,0.599056603773585,0.488992819201243,0.685414191780447,276,1.52693799527268e-13,851510965
277,-0.88804751956076,0.129405489049986,0.411458333333333,0.319282937626144,0.530244307222203,0.588541666666667,0.469755692777797,0.680717062373856,254,6.76571309478553e-12,96957863
2,-0.815749502652278,0.122679123037763,0.442307692307692,0.347776180550412,0.562534485153441,0.557692307692308,0.437465514846559,0.652223819449588,288,2.94177101001017e-11,295990430
252,-0.980829253011726,0.121987509137343,0.375,0.295253674828373,0.476285350493075,0.625,0.523714649506925,0.704746325171627,280,8.95403826529909e-16,732576880
152,-1.06635142644989,0.118949999024282,0.344262295081967,0.27267105405831,0.434650198659367,0.655737704918033,0.565349801340633,0.72732894594169,290,3.11117854416353e-19,372615922
702,-1.0230296075021,0.118370559054402,0.359504132231405,0.285066828544901,0.453378675278237,0.640495867768595,0.546621324721763,0.714933171455099,295,5.49471556264376e-18,851705507
77,-0.986694372464124,0.12105487503701,0.37280701754386,0.294064082505359,0.472635322021739,0.62719298245614,0.527364677978261,0.705935917494641,284,3.61517262511043e-16,154964767
52,-1.0893098960058,0.127633219976181,0.336448598130841,0.261985423991208,0.432076172253029,0.663551401869159,0.567923827746971,0.738014576008792,251,1.4053238395286e-17,881804449
202,-0.909035560992984,0.125430595369522,0.402912621359223,0.315096918255851,0.515202057034228,0.597087378640777,0.484797942965772,0.684903081744149,269,4.25101359278335e-13,797099868
402,-0.851515496331407,0.126562908744102,0.426767676767677,0.333012837315257,0.54691780473694,0.573232323232323,0.45308219526306,0.666987162684743,268,1.72008622350997e-11,511531827
852,-0.935218741759674,0.127943060604419,0.3925,0.305445921435913,0.504365058389962,0.6075,0.495634941610038,0.694554078564087,257,2.67843024758807e-13,130554855
227,-1.11394665266822,0.123766589733839,0.328260869565218,0.257554299043651,0.418378566724876,0.671739130434782,0.581621433275124,0.742445700956349,266,2.2493255867777e-19,211455147
477,-0.74721440183022,0.126814318398384,0.473684210526316,0.369440382282266,0.607342191223988,0.526315789473684,0.392657808776012,0.630559617717734,275,3.81104364503758e-09,126192947
377,-0.860201265223112,0.132221471359324,0.423076923076923,0.326491753757425,0.548234620875675,0.576923076923077,0.451765379124325,0.673508246242575,245,7.73011461806074e-11,178757442
752,-0.784118958765672,0.129699445549064,0.456521739130435,0.354047143545931,0.588656347319574,0.543478260869565,0.411343652680426,0.645952856454069,260,1.48798111350941e-09,603106240
352,-0.95848195431973,0.118319221405618,0.383474576271186,0.304104658040367,0.483559678414548,0.616525423728814,0.516440321585452,0.695895341959633,299,5.4592856479782e-16,77796909
877,-1.02861991684807,0.130357228407238,0.3575,0.276895419877761,0.461568667536726,0.6425,0.538431332463274,0.723104580122239,243,3.00309062835152e-15,775093708
27,-0.801781021562741,0.123565377223152,0.448529411764706,0.352056110711892,0.571439117506554,0.551470588235294,0.428560882493446,0.647943889288108,285,8.65692034617559e-11,573475280
502,-1.0087380411288,0.124352804983844,0.364678899082569,0.285799415028789,0.465328802099466,0.635321100917431,0.534671197900534,0.714200584971211,268,4.98325830840089e-16,722977530
827,-1.10282282120445,0.121377408411196,0.331932773109244,0.261657686326737,0.421082091685277,0.668067226890756,0.578917908314723,0.738342313673263,277,1.02845604915495e-19,7041833
177,-0.873409004390889,0.128382700790281,0.417525773195876,0.324641275424377,0.536985850166249,0.582474226804124,0.463014149833751,0.675358724575623,259,1.0234360881622e-11,61516712
527,-0.841200280519086,0.120388790457149,0.431192660550459,0.340562037748492,0.545941972105216,0.568807339449541,0.454058027894784,0.659437962251508,297,2.80099196746874e-12,235987775
952,-0.828066498459316,0.123548749183879,0.436893203883495,0.342933887847448,0.556596120604141,0.563106796116505,0.443403879395859,0.657066112152552,283,2.05099301698593e-11,879950059
427,-1.03798766685168,0.119229552874543,0.354166666666667,0.280362100176613,0.447400086169853,0.645833333333333,0.552599913830147,0.719637899823387,290,3.1536521591952e-18,956048992
677,-0.961026625715547,0.12859217595793,0.3825,0.297285399863752,0.492140717529529,0.6175,0.507859282470471,0.702714600136248,253,7.81217708053803e-14,344686054
977,-0.838654764231183,0.128221538977834,0.432291666666667,0.336228475778362,0.555800886991592,0.567708333333333,0.444199113008408,0.663771524221638,262,6.12438649625552e-11,56791599
552,-0.98394938034797,0.124883122948265,0.373831775700935,0.292668179877728,0.47750389735604,0.626168224299065,0.52249610264396,0.707331820122272,267,3.30111857056192e-15,256476082
577,-0.865899286337749,0.12381304589917,0.420673076923077,0.330031096508793,0.536209586066125,0.579326923076923,0.463790413933875,0.669968903491207,279,2.67915047452739e-12,870166281
602,-1.07166765342466,0.120575000202363,0.342436974789916,0.270362855960994,0.433724822466691,0.657563025210084,0.566275177533309,0.729637144039006,282,6.22323723647715e-19,520127213
452,-0.792238083204178,0.121005353611522,0.452830188679245,0.357219722185293,0.574030959222672,0.547169811320755,0.425969040777328,0.642780277814707,298,5.86523235842448e-11,690048925
627,-0.995688367415477,0.121809611602403,0.369469026548672,0.291000347071148,0.469096902985646,0.630530973451328,0.530903097014354,0.708999652928852,280,2.97992804967524e-16,593513820
927,-0.797350958089948,0.127267487965985,0.450520833333333,0.35106262560433,0.578156164923464,0.549479166666667,0.421843835076536,0.64893737439567,269,3.72446862674069e-10,407849391
727,-0.885831524389446,0.128682859604577,0.412371134020619,0.320444785164063,0.530668495935697,0.587628865979381,0.469331504064303,0.679555214835937,257,5.82625093543429e-12,900832634
652,-0.927836722871216,0.129056943018325,0.395408163265306,0.307038023768202,0.509212551781136,0.604591836734694,0.490787448218864,0.692961976231798,253,6.50961019102245e-13,831799028
302,-1.06624700416608,0.123050219749728,0.344298245614035,0.270516819544844,0.438203000214009,0.655701754385965,0.561796999785991,0.729483180455156,271,4.50970620461141e-18,596410958
802,-0.996528162554829,0.125199474125626,0.369158878504673,0.288830686410414,0.471827558465112,0.630841121495327,0.528172441534889,0.711169313589586,265,1.72703001360688e-15,914867925
777,-1.00636255501689,0.118955822831747,0.365546218487395,0.289525563530055,0.461527597843923,0.634453781512605,0.538472402156077,0.710474436469945,293,2.67448966924204e-17,751267433
902,-0.773189888233481,0.130159102437878,0.461538461538462,0.357615446654975,0.595661494691554,0.538461538461538,0.404338505308446,0.642384553345025,259,2.84424003314753e-09,995870328
278,-0.861138911799075,0.128089185069097,0.422680412371134,0.328838312185223,0.543302663898846,0.577319587628866,0.456697336101154,0.671161687814777,261,1.78065241296201e-11,30039021
153,-1.1984782850083,0.122938105899306,0.301652892561984,0.237062242700684,0.383842093765652,0.698347107438017,0.616157906234348,0.762937757299316,267,1.86971744964459e-22,124534810
53,-0.957989761041903,0.127877296684628,0.383663366336634,0.298607685135124,0.492946384156687,0.616336633663366,0.507053615843313,0.701392314864876,256,6.81030871698053e-14,11857278
3,-0.937124818776997,0.129954706433925,0.391752577319588,0.303664634348262,0.505393333556683,0.608247422680412,0.494606666443317,0.696335365651738,249,5.54752205464813e-13,421661819
78,-0.849017551266731,0.127802092086233,0.427835051546392,0.333035879385115,0.549618952977847,0.572164948453608,0.450381047022153,0.666964120614885,263,3.06900980839107e-11,737363017
853,-1.06538664103979,0.124679415806493,0.344594594594595,0.269886492740193,0.439982873607994,0.655405405405405,0.560017126392006,0.730113507259807,264,1.2852705346628e-17,446492820
128,-0.766419381666271,0.129296242945223,0.464673913043478,0.36065431298764,0.598694754748539,0.535326086956522,0.401305245251461,0.63934568701236,263,3.07351145872231e-09,754191964
203,-0.617749163075733,0.132796027533173,0.539156626506024,0.415603086018637,0.699441071744883,0.460843373493976,0.300558928255117,0.584396913981363,262,3.28946764293029e-06,892390937
403,-0.9175169735974,0.126249320390042,0.399509803921568,0.311934797733879,0.511671299864457,0.600490196078431,0.488328700135543,0.688065202266121,265,3.66200528478891e-13,74190743
378,-0.97246100334121,0.118147860346354,0.378151260504202,0.299983875389975,0.476686874036214,0.621848739495799,0.523313125963786,0.700016124610025,299,1.85841198315823e-16,377841675
103,-0.980829253011726,0.124225998769109,0.375,0.293961128449573,0.478379576040181,0.625,0.521620423959819,0.706038871550427,270,2.89099932084821e-15,378774225
753,-1.09861228866811,0.120761472901503,0.333333333333333,0.263079127700229,0.422348637394445,0.666666666666667,0.577651362605555,0.736920872299771,280,9.25421943023236e-20,59553052
478,-0.980829253011726,0.120912708370279,0.375,0.29587630317168,0.47528307773402,0.625,0.52471692226598,0.70412369682832,285,4.98429449109958e-16,610267145
828,-0.881547783430283,0.127273607169799,0.414141414141414,0.322710555773101,0.531476606013599,0.585858585858586,0.468523393986401,0.677289444226899,263,4.31687873767911e-12,249062612
328,-0.849637042740376,0.121697474385791,0.427570093457944,0.336835799386959,0.542745709192313,0.572429906542056,0.457254290807687,0.663164200613041,290,2.91940275730966e-12,286377042
878,-0.828122616756702,0.126021255855114,0.436868686868687,0.341256890918449,0.559268558805395,0.563131313131313,0.440731441194605,0.658743109081551,272,4.9880140974708e-11,221011892
178,-0.851236423966132,0.122306271906592,0.42688679245283,0.335896463118415,0.54252531235026,0.57311320754717,0.45747468764974,0.664103536881585,287,3.40573607113242e-12,570055733
253,-1.15505359957306,0.120754686069735,0.315040650406504,0.248645165939699,0.399165658553856,0.684959349593496,0.600834341446144,0.7513548340603,278,1.11887275149513e-21,816875001
953,-0.776297548892115,0.128135259390204,0.460106382978723,0.35792276987976,0.591462464734727,0.539893617021276,0.408537535265273,0.64207723012024,267,1.37462879621512e-09,66824167
553,-0.938526873321037,0.123192609467501,0.391203703703704,0.307284899282382,0.498040542014586,0.608796296296296,0.501959457985414,0.692715100717618,277,2.56899145503447e-14,402006028
353,-0.998220995723595,0.120285671947797,0.368534482758621,0.291132560666873,0.466514857256289,0.631465517241379,0.533485142743711,0.708867439333127,287,1.05210477493868e-16,392150564
703,-1.12707475333187,0.134454815404655,0.323979591836735,0.248925568454495,0.421663297098728,0.676020408163265,0.578336702901272,0.751074431545505,225,5.1791411442818e-17,112412762
528,-1.04499119722901,0.120410434186313,0.351694915254237,0.277761815421165,0.445307117640117,0.648305084745763,0.554692882359883,0.722238184578835,284,4.00751990338036e-18,95461023
678,-0.911400746579963,0.126101080682982,0.401960784313725,0.31393970835141,0.514660834000802,0.598039215686275,0.485339165999198,0.68606029164859,266,4.91817235121575e-13,167715072
978,-0.828183464363888,0.128648405278601,0.436842105263158,0.339483577629579,0.56212152076166,0.563157894736842,0.43787847923834,0.660516422370421,261,1.21399165575229e-10,126155123
603,-0.850776124763528,0.12850769489759,0.427083333333334,0.33199127899465,0.549412545303791,0.572916666666666,0.450587454696209,0.66800872100535,260,3.58156878723766e-11,390843471
578,-0.983732012669687,0.120455824544688,0.373913043478261,0.295282991129219,0.473481264696324,0.626086956521739,0.526518735303676,0.704717008870781,287,3.1682139074876e-16,643535927
228,-0.983682321994133,0.119420660966491,0.373931623931624,0.295897397002096,0.472545080804313,0.626068376068376,0.527454919195687,0.704102602997904,292,1.76405440349522e-16,783477686
