"rep","est_V","se_V","IRR_V","IRR_V_CI_Lower","IRR_V_CI_Upper","VE","VE_CI_Lower","VE_CI_Upper","n_event","p_val","n_calendar_group","seed"
76,-0.878796527446574,0.251507085357521,0.415282392026578,0.253664853764306,0.679871344287838,0.584717607973422,0.320128655712162,0.746335146235694,68,0.000475622996416612,NA,58293083
101,-1.62432652492785,0.28238516132029,0.197044334975369,0.113291484699263,0.342713047224619,0.802955665024631,0.657286952775381,0.886708515300737,74,8.81068488734887e-09,NA,900019500
326,-1.98513086220859,0.345298087543584,0.137362637362637,0.06981525935367,0.270263181973377,0.862637362637363,0.729736818026623,0.93018474064633,62,8.97541288596454e-09,NA,701459450
201,-1.84054963339749,0.319142369295098,0.158730158730159,0.084919019943122,0.296697527919858,0.841269841269841,0.703302472080142,0.915080980056878,66,8.06117253417709e-09,NA,439356649
301,-1.58923520511658,0.303045763411137,0.204081632653061,0.112681053439439,0.369621258543909,0.795918367346939,0.630378741456091,0.887318946560561,63,1.56954529539258e-07,NA,775070778
176,-1.68020698332231,0.2646664111649,0.186335403726708,0.110920270768427,0.313025585327714,0.813664596273292,0.686974414672286,0.889079729231573,87,2.175725253667e-10,NA,883736332
126,-1.49570914710576,0.28654466172492,0.224089635854342,0.127795191358576,0.392942522824915,0.775910364145658,0.607057477175085,0.872204808641424,67,1.79105241827284e-07,NA,94169193
1,-1.49962304642689,0.256173769189149,0.223214285714286,0.135103462143235,0.368788605092261,0.776785714285714,0.631211394907738,0.864896537856765,84,4.80093756460421e-09,NA,339781792
26,-1.43508452528932,0.308606699974184,0.238095238095238,0.130036182201274,0.435950528875744,0.761904761904762,0.564049471124256,0.869963817798726,56,3.31604699133177e-06,NA,896206942
251,-1.34807314829969,0.291937104146249,0.25974025974026,0.146568943346333,0.460295346269382,0.74025974025974,0.539704653730618,0.853431056653667,60,3.88047499469275e-06,NA,234477203
351,-2.01044867019288,0.363241578674441,0.133928571428571,0.065717562078408,0.272938643455723,0.866071428571429,0.727061356544277,0.934282437921592,57,3.1168559400858e-08,NA,810979949
651,-1.76721836031194,0.335631079274726,0.170807453416149,0.0884742979508205,0.329758888380525,0.829192546583851,0.670241111619475,0.911525702049179,57,1.39915134347368e-07,NA,852648384
276,-1.17622289137303,0.274515667527463,0.308441558441558,0.180096274468573,0.528251876695311,0.691558441558442,0.471748123304689,0.819903725531427,63,1.82969114168903e-05,NA,544219989
451,-1.00662989895646,0.262126609571396,0.365448504983389,0.218626909159321,0.610869953328889,0.634551495016611,0.389130046671111,0.781373090840679,65,0.000122912545098677,NA,639637500
601,-1.56861591791385,0.303746448193007,0.208333333333333,0.114870713117554,0.377840239690696,0.791666666666667,0.622159760309304,0.885129286882446,62,2.41433246772285e-07,NA,618351255
51,-1.39936644268724,0.26610786751347,0.246753246753247,0.146470933109957,0.415694523756193,0.753246753246753,0.584305476243807,0.853529066890043,74,1.45121813324885e-07,NA,514666555
501,-1.68354588458782,0.311324713042405,0.185714285714286,0.100889329579465,0.341857717383299,0.814285714285714,0.658142282616701,0.899110670420535,63,6.38446932251161e-08,NA,983217311
401,-1.41403111609149,0.289441869417899,0.243161094224924,0.13788617462043,0.42881251806011,0.756838905775076,0.57118748193989,0.86211382537957,63,1.03233914862832e-06,NA,156428585
576,-2.65885995691144,0.46862334902647,0.0700280112044818,0.0279498109486048,0.175454580436073,0.929971988795518,0.824545419563927,0.972050189051395,56,1.39690641911464e-08,NA,493641490
