"rep","est_V","se_V","IRR_V","IRR_V_CI_Lower","IRR_V_CI_Upper","VE","VE_CI_Lower","VE_CI_Upper","n_event","p_val","n_calendar_group","seed"
1,-2.12098361112728,0.440324883045606,0.119913622111745,0.0505898394925932,0.284232504237609,0.880086377888255,0.715767495762391,0.949410160507407,28,1.45834443768631e-06,7,603583317
17,-2.37335826929565,0.39651459259917,0.093167319372208,0.0428301669182692,0.202664384090936,0.906832680627792,0.797335615909064,0.957169833081731,39,2.15658689537888e-09,10,629009700
84,-1.92254490692593,0.374222477971112,0.146234335408309,0.0702280492383099,0.304500567568727,0.853765664591691,0.695499432431273,0.92977195076169,39,2.7850880173279e-07,10,103278025
51,-1.44853944176313,0.433149138813794,0.234913141978281,0.100510190986547,0.549040686645336,0.765086858021719,0.450959313354664,0.899489809013453,32,0.000825187879974611,11,339325966
34,-1.47773217206547,0.367567587863159,0.228154517310514,0.111008177838652,0.468924765568655,0.771845482689486,0.531075234431345,0.888991822161348,42,5.81239430983939e-05,10,894256544
167,-2.36443788714347,0.433670857678466,0.094002125323481,0.0401787452085397,0.219927215732295,0.905997874676519,0.780072784267705,0.95982125479146,31,4.97648895311204e-08,10,106101643
117,-1.67958828162266,0.34187536505924,0.186450725428886,0.0954023865741526,0.364392068807811,0.813549274571114,0.635607931192189,0.904597613425847,50,8.97540537654442e-07,10,329022082
67,-0.979524761231279,0.319715314082228,0.37548950362498,0.200657608818519,0.702651487589747,0.62451049637502,0.297348512410253,0.799342391181481,48,0.00218588416861778,11,369198555
234,-1.09813727883908,0.324835317533591,0.333491707554688,0.176434989463422,0.630355233652782,0.666508292445312,0.369644766347218,0.823565010536578,48,0.000723285575565549,11,239334112
101,-1.44361059877552,0.351954627295374,0.236073850095047,0.118430499512983,0.470578634117717,0.763926149904953,0.529421365882283,0.881569500487017,42,4.10134338460885e-05,10,539276216
151,-1.43534804375547,0.343758909900874,0.238032503869475,0.121346750324927,0.466922045680301,0.761967496130525,0.533077954319699,0.878653249675073,42,2.97397939727537e-05,11,917371160
134,-1.64213153142284,0.344797283852646,0.193567008089417,0.0984780311449547,0.380472539764093,0.806432991910583,0.619527460235907,0.901521968855045,44,1.91114470980364e-06,10,274091169
251,-1.87320014645983,0.389300225726734,0.153631231868618,0.071631914716853,0.32949775946609,0.846368768131382,0.67050224053391,0.928368085283147,37,1.49643697624975e-06,9,924438714
301,-1.80025561835516,0.35275088704243,0.165256640191585,0.0827745483043437,0.329929400846731,0.834743359808415,0.670070599153269,0.917225451695656,41,3.33471158862012e-07,11,77743286
