"rep","est_V","se_V","IRR_V","IRR_V_CI_Lower","IRR_V_CI_Upper","VE","VE_CI_Lower","VE_CI_Upper","n_event","p_val","seed"
1,-0.748397134079271,0.128668013203293,0.473124300111982,0.367665468985882,0.608832273462831,0.526875699888018,0.391167726537169,0.632334531014118,263,6.00935612652712e-09,473632291
501,-0.819060342299579,0.116829146057026,0.440845704003599,0.350623857591719,0.55428325976817,0.559154295996401,0.44571674023183,0.649376142408281,313,2.3703807091304e-12,312075509
2,-0.740293958985647,0.127136906874017,0.476973684210526,0.371770809689164,0.61194663351751,0.523026315789474,0.38805336648249,0.628229190310836,270,5.78665841774021e-09,38421022
502,-1.23390494986097,0.116200064522723,0.291153415453528,0.231852730471315,0.365621363000261,0.708846584546472,0.634378636999739,0.768147269528685,297,2.43679974665055e-26,490386568
3,-0.776721284339659,0.121216285885965,0.459911460895229,0.362655896068513,0.583248622608424,0.540088539104771,0.416751377391576,0.637344103931487,294,1.47701751026766e-10,547522080
503,-0.899682995474494,0.12236528117621,0.406698564593302,0.319974318998668,0.516928117731038,0.593301435406698,0.483071882268962,0.680025681001332,280,1.94625577218742e-13,339506071
4,-1.07141654585962,0.118465475630217,0.342522974101922,0.271551190204909,0.432043725159504,0.657477025898078,0.567956274840496,0.728448809795091,290,1.50868855709465e-19,295020403
504,-0.8754687373539,0.116603993211754,0.416666666666667,0.331539485610429,0.523651385871759,0.583333333333333,0.476348614128241,0.668460514389571,310,6.0014089141756e-14,103615117
5,-0.883015942989283,0.124837556808638,0.413533834586466,0.323779335577116,0.528169075530939,0.586466165413534,0.471830924469061,0.676220664422884,270,1.51270491552772e-12,974156858
505,-1.10868794065685,0.11943877873047,0.329991645781119,0.261117796647499,0.417032035669081,0.670008354218881,0.582967964330919,0.738882203352501,284,1.6558061778661e-20,508278229
6,-0.920567288641415,0.122316760775225,0.398293029871978,0.313390978783524,0.506196248087215,0.601706970128022,0.493803751912785,0.686609021216476,279,5.22812022154065e-14,641059122
506,-0.798343748352825,0.121697474388042,0.450073782587309,0.35456399935313,0.571311272836534,0.549926217412691,0.428688727163466,0.64543600064687,290,5.37831254337406e-11,581275958
7,-0.818635262590734,0.121589971392443,0.44103313840156,0.34751507716227,0.559717381923846,0.55896686159844,0.440282618076154,0.65248492283773,289,1.66482381622893e-11,538447423
507,-0.783824147442782,0.124312666645989,0.456656346749226,0.357910438062016,0.582645815404289,0.543343653250774,0.417354184595711,0.642089561937984,279,2.87703589110524e-10,287127134
8,-0.889094989065665,0.124985481176576,0.411027568922306,0.321723746832169,0.525120275011321,0.588972431077694,0.474879724988679,0.678276253167831,269,1.13065845485884e-12,467416993
508,-1.05929518532728,0.118155001274849,0.346700083542188,0.275030100093664,0.437046519225441,0.653299916457811,0.562953480774559,0.724969899906336,292,3.09433736887024e-19,744388523
9,-0.863784581061395,0.125576048394455,0.42156361778232,0.329588914984097,0.539204675152054,0.57843638221768,0.460795324847946,0.670411085015903,268,6.0453159713293e-12,447388981
509,-0.875979854155214,0.125871788717282,0.416453755748595,0.325405225148051,0.532977706790671,0.583546244251405,0.467022293209329,0.674594774851949,266,3.41961536700203e-12,960063868
10,-0.99348468322445,0.123040097948219,0.370284117373079,0.290939818098428,0.471266973612989,0.629715882626921,0.528733026387011,0.709060181901572,272,6.77653786432842e-16,994330221
510,-0.740635430732177,0.123957536923227,0.476810838978635,0.373966993283811,0.607937545961365,0.523189161021365,0.392062454038635,0.626033006716189,284,2.30213781826194e-09,528123590
11,-0.941512149670891,0.122281101643601,0.390037593984962,0.306916761026013,0.495669653925106,0.609962406015038,0.504330346074894,0.693083238973987,278,1.36522700643513e-14,616245726
511,-0.912144215912306,0.120495046646655,0.401662049861496,0.317172284771679,0.508658574676776,0.598337950138504,0.491341425323224,0.682827715228321,288,3.73302615582877e-14,818984681
12,-0.59850344529878,0.136816789486976,0.549633577614924,0.420353428484077,0.718673975685734,0.450366422385076,0.281326024314266,0.579646571515923,244,1.21717648995127e-05,317809311
512,-0.932249664495772,0.116468295746676,0.393667094565682,0.313322167236635,0.494614800831321,0.606332905434318,0.505385199168679,0.686677832763365,307,1.20127327895051e-15,494606995
13,-1.22116592408354,0.115850388471162,0.294886151549086,0.234986194568183,0.370055111259734,0.705113848450914,0.629944888740266,0.765013805431817,299,5.59681409687219e-26,525727411
513,-0.973707176937313,0.125343018025131,0.377680311890838,0.295414749957495,0.482854759318838,0.622319688109162,0.517145240681162,0.704585250042505,263,7.95213898041452e-15,575967937
14,-1.02638578461409,0.115507684638715,0.358299595141701,0.285710366327392,0.4493312634362,0.641700404858299,0.5506687365638,0.714289633672608,307,6.34248798111978e-19,289969154
514,-1.07052189136022,0.12734427922982,0.342829550941574,0.267105359836851,0.440021499645647,0.657170449058426,0.559978500354353,0.732894640163149,251,4.22364910149581e-17,210684690
