"methods","scen_name","scen","sample_size","base_infect_shape","base_infect_mode","base_infect_min","base_infect_max","vacc_season","vacc_mean_d","vacc_sd_d","control_start","control_end","risk_start","risk_end","scen_id","missing_estimate","convergence_issue","mean_n_event","est_V_hat","est_V_hat_low_CI","est_V_hat_up_CI","IRR_V_hat","IRR_V_hat_low_CI","IRR_V_hat_up_CI","VE_hat","VE_hat_low_CI","VE_hat_up_CI","bias_est_V","bias_est_V_MCSE","bias_est_V_low_CI","bias_est_V_up_CI","mod_se_est_V_hat","se_est_V_hat","se_est_V_hat_MCSE","se_est_V_hat_low_CI","se_est_V_hat_up_CI","relative_bias_est_V","relative_bias_est_V_MCSE","relative_bias_est_V_low_CI","relative_bias_est_V_up_CI","bias_IRR_V","bias_IRR_V_MCSE","bias_IRR_V_low_CI","bias_IRR_V_up_CI","relative_bias_IRR_V","relative_bias_IRR_V_MCSE","bias_VE","bias_VE_MCSE","bias_VE_low_CI","bias_VE_up_CI","coverage_irr_V","coverage_irr_V_MCSE","coverage_irr_V_low_CI","coverage_irr_V_up_CI"
"calendar_adjustment","S10_seasonality_size6000","seasonality",6000,2.5,100,2e-04,0.002,"beta",180,60,3,7,16,35,10,0,0,83.809,-0.963411147485279,-0.983150324078799,-0.94367197089176,0.401225787667956,0.393162380256955,0.409289195078958,0.598774212332044,0.590710804921042,0.606837619743045,-0.0471204156111245,0.0100710084660815,-0.0668595922046442,-0.0273812390176048,0.326468224174173,0.318473250876561,0.00712484169164996,0.304508561160927,0.332437940592195,0.0514251797731771,0.0109910622423109,0.0298826977782477,0.0729676617681066,0.00122578766795644,0.00411398337295989,-0.00683761974304494,0.00928919507895782,0.00306446916989111,0.0102849584323997,-0.00122578766795645,0.00411398337295989,-0.00928919507895783,0.00683761974304493,0.955,0.00655553201502365,0.942151157250554,0.967848842749446
"calendar_adjustment","S11_seasonality_size6000","seasonality",6000,10,300,2e-04,0.003,"beta",180,60,3,7,16,35,11,0,0,101.51,-0.766990316428138,-0.786263390702265,-0.747717242154012,0.487376513666688,0.477744778462343,0.497008248871032,0.512623486333312,0.502991751128968,0.522255221537657,0.149300415446017,0.00983320116026861,0.13002734117189,0.168573489720143,0.301299143045056,0.310953123570592,0.00695660239240392,0.29731818288148,0.324588064259704,-0.162940003922818,0.0107315296534279,-0.183973802043537,-0.1419062058021,0.0873765136666877,0.00491415061446135,0.0777447784623434,0.0970082488710319,0.218441284166719,0.0122853765361534,-0.0873765136666877,0.00491415061446135,-0.0970082488710319,-0.0777447784623434,0.911,0.00900438781928011,0.893351399874211,0.928648600125789
"calendar_adjustment","S12_seasonality_size6000","seasonality",6000,20,200,2e-04,0.003,"beta",180,60,3,7,16,35,12,0,0,111.902,-0.902943023557518,-0.921014089740144,-0.884871957374891,0.42296060333688,0.415143972106811,0.430777234566949,0.57703939666312,0.569222765433051,0.584856027893189,0.0133477083166373,0.0092199317258299,-0.00472335786598929,0.0314187744992639,0.283535858242165,0.291559841248696,0.00652273843037673,0.278775273925157,0.304344408572234,-0.0145671104730442,0.010062233966911,-0.0342890890481898,0.00515486810210147,0.02296060333688,0.00398807715819825,0.0151439721068114,0.0307772345669486,0.0574015083422,0.00997019289549563,-0.02296060333688,0.00398807715819825,-0.0307772345669486,-0.0151439721068114,0.947,0.00708456067798138,0.933114261071156,0.960885738928843
"calendar_adjustment","S13_seasonality_size6000","seasonality",6000,2.5,100,2e-04,0.002,"beta",80,60,3,7,16,35,13,0,0,97.811,-0.734207836118357,-0.751996806901854,-0.716418865334861,0.499942302568174,0.490944913988374,0.508939691147973,0.500057697431826,0.491060308852027,0.509055086011626,0.182082895755798,0.00907600550178391,0.164293924972301,0.199871866539294,0.282630011697452,0.287008494418566,0.0064209162975627,0.274423498475343,0.299593490361789,-0.198717382400421,0.00990515912260742,-0.218131494280731,-0.17930327052011,0.0999423025681736,0.00459050437744885,0.0909449139883738,0.108939691147973,0.249855756420434,0.0114762609436221,-0.0999423025681736,0.00459050437744885,-0.108939691147973,-0.0909449139883738,0.906,0.00922843432007835,0.887912268732647,0.924087731267354
"calendar_adjustment","S14_seasonality_size6000","seasonality",6000,10,300,2e-04,0.003,"beta",80,60,3,7,16,35,14,0,0,32.274,-0.697175809874658,-0.733330036844189,-0.661021582905127,0.596984168469864,0.569138351371054,0.624829985568675,0.403015831530136,0.375170014431325,0.430861648628946,0.219114921999497,0.018446034168128,0.182960695029966,0.255269148969028,0.487461133884028,0.583314817685738,0.0130498423995283,0.557737126582663,0.608892508788814,-0.239132531168711,0.0201312023863856,-0.278589687846026,-0.199675374491395,0.196984168469864,0.0142070495402094,0.169138351371054,0.224829985568675,0.492460421174661,0.0355176238505235,-0.196984168469864,0.0142070495402094,-0.224829985568675,-0.169138351371054,0.891,0.00985489725973843,0.871684401370913,0.910315598629087
"calendar_adjustment","S15_seasonality_size6000","seasonality",6000,20,200,2e-04,0.003,"beta",80,60,3,7,16,35,15,0,0,45.698,-0.750739436078116,-0.7790798077349,-0.722399064421333,0.52413517519541,0.508294740516499,0.539975609874321,0.47586482480459,0.460024390125679,0.491705259483501,0.165551295796039,0.0144593732942773,0.137210924139255,0.193891667452822,0.424832633250834,0.457245531485284,0.0102294369058634,0.437195835149792,0.477295227820776,-0.180675510552666,0.0157803334589039,-0.211604964132118,-0.149746056973214,0.12413517519541,0.00808185442801574,0.108294740516499,0.139975609874321,0.310337937988524,0.0202046360700394,-0.12413517519541,0.00808185442801574,-0.139975609874321,-0.108294740516499,0.91,0.00904986187739901,0.892262270720298,0.927737729279702
"calendar_adjustment","S16_seasonality_size6000","seasonality",6000,2.5,100,2e-04,0.002,"beta",180,20,3,7,16,35,16,0,0,84.186,-1.00489474697043,-1.02473460675168,-0.98505488718917,0.385066283208757,0.377319029975623,0.392813536441891,0.614933716791243,0.607186463558109,0.622680970024377,-0.0886040150962699,0.0101223774394156,-0.108443874877525,-0.0687641553150153,0.314665460673941,0.320097680444564,0.00716118321634444,0.306061761340529,0.334133599548599,0.0966985826813306,0.0110471241138842,0.0750462194181175,0.118350945944544,-0.0149337167912432,0.00395268022098673,-0.0226809700243772,-0.00718646355810921,-0.037334291978108,0.00988170055246683,0.0149337167912432,0.00395268022098673,0.00718646355810921,0.0226809700243772,0.936,0.0077397674383666,0.920830055820801,0.951169944179199
"calendar_adjustment","S17_seasonality_size6000","seasonality",6000,10,300,2e-04,0.003,"beta",180,20,3,7,16,35,17,0,0,99.805,-0.696164207346663,-0.713990259848659,-0.678338154844666,0.519465788860602,0.510102794999966,0.528828782721239,0.480534211139398,0.471171217278761,0.489897205000034,0.220126524527492,0.00909492474591663,0.202300472025495,0.237952577029489,0.296702118155656,0.287606773449247,0.00643430091736768,0.274995543651207,0.300218003247288,-0.24023655033294,0.00992580676584399,-0.259691131593994,-0.220781969071886,0.119465788860602,0.00477703768399821,0.110102794999966,0.128828782721239,0.298664472151505,0.0119425942099955,-0.119465788860602,0.00477703768399821,-0.128828782721239,-0.110102794999966,0.888,0.00997276290703835,0.868453384702205,0.907546615297795
"calendar_adjustment","S18_seasonality_size6000","seasonality",6000,20,200,2e-04,0.003,"beta",180,20,3,7,16,35,18,0,0,168.443,-0.872517370605292,-0.886733874734052,-0.858300866476531,0.42904562929587,0.422844186465956,0.435247072125784,0.57095437070413,0.564752927874216,0.577155813534044,0.0437733612688631,0.00725331843304109,0.0295568571401025,0.0579898653976236,0.225362078193117,0.229370068428934,0.00513143701036446,0.219312451888619,0.239427684969248,-0.0477723496988017,0.00791595743657186,-0.0632876262744825,-0.0322570731231208,0.0290456292958696,0.00316400144383359,0.0228441864659558,0.0352470721257835,0.0726140732396741,0.00791000360958399,-0.0290456292958696,0.00316400144383359,-0.0352470721257835,-0.0228441864659558,0.939,0.00756828910652864,0.924166153351204,0.953833846648796
"calendar_adjustment","S19_seasonality_size6000","seasonality",6000,2.5,100,2e-04,0.002,"beta",80,20,3,7,16,35,19,0,0,120.247,-0.878756214765316,-0.894696270553953,-0.862816158976678,0.429470923929657,0.422317552661565,0.436624295197749,0.570529076070343,0.563375704802251,0.577682447338435,0.0375345171088394,0.00813268152481515,0.0215944613202017,0.053474572897477,0.256654611001803,0.257177971031871,0.00575355175085656,0.245901009600192,0.268454932463549,-0.0409635455245382,0.00887565621031743,-0.0583598316967603,-0.023567259352316,0.0294709239296569,0.00364967921841418,0.0223175526615651,0.0366242951977487,0.0736773098241422,0.00912419804603544,-0.0294709239296569,0.00364967921841418,-0.0366242951977487,-0.0223175526615651,0.948,0.00702111102319284,0.934238622394542,0.961761377605458
